"rental_id","first_name","last_name","rental_date"
14,"Theodore","Culp","2005-05-25 00:31:15"
64,"Harry","Arce","2005-05-25 09:21:29"
75,"Ben","Easter","2005-05-25 11:13:34"
125,"Harry","Arce","2005-05-25 20:48:50"
236,"Theodore","Culp","2005-05-26 11:53:49"
259,"Maurice","Crawley","2005-05-26 15:32:46"
304,"Christian","Jung","2005-05-26 21:21:28"
335,"Sandra","Martin","2005-05-27 03:07:10"
355,"Theodore","Culp","2005-05-27 06:15:33"
372,"Ben","Easter","2005-05-27 08:13:58"
494,"Judith","Cox","2005-05-28 00:39:31"
527,"Erica","Matthews","2005-05-28 04:28:38"
537,"Kenneth","Gooden","2005-05-28 06:20:55"
551,"Kenneth","Gooden","2005-05-28 07:44:18"
587,"Judith","Cox","2005-05-28 12:05:33"
593,"Sandra","Martin","2005-05-28 13:33:23"
627,"Heidi","Larson","2005-05-28 17:04:43"
680,"Maurice","Crawley","2005-05-28 23:27:26"
775,"Sheila","Wells","2005-05-29 13:23:26"
836,"Harry","Arce","2005-05-29 23:56:42"
855,"Nathan","Runyon","2005-05-30 02:00:28"
879,"Maurice","Crawley","2005-05-30 05:49:42"
887,"Sandra","Martin","2005-05-30 07:10:00"
940,"Christian","Jung","2005-05-30 15:01:02"
949,"Harry","Arce","2005-05-30 15:50:39"
1001,"Judith","Cox","2005-05-31 00:46:31"
1017,"Sandra","Martin","2005-05-31 02:53:36"
1039,"Sheila","Wells","2005-05-31 05:32:29"
1057,"Sheila","Wells","2005-05-31 07:58:06"
1059,"Heidi","Larson","2005-05-31 08:20:43"
1087,"Erica","Matthews","2005-05-31 11:18:08"
1096,"Penny","Neal","2005-05-31 13:30:49"
1118,"Ben","Easter","2005-05-31 16:23:02"
1130,"Sheila","Wells","2005-05-31 18:13:57"
1163,"Terrance","Roush","2005-06-14 23:12:46"
1186,"Harry","Arce","2005-06-15 00:56:45"
1335,"Judith","Cox","2005-06-15 11:51:30"
1423,"Terrance","Roush","2005-06-15 18:08:12"
1435,"Ben","Easter","2005-06-15 18:32:30"
1479,"Terrance","Roush","2005-06-15 21:13:38"
1513,"Harry","Arce","2005-06-15 22:53:30"
1610,"Christian","Jung","2005-06-16 06:36:33"
1673,"Christian","Jung","2005-06-16 10:40:17"
1701,"Kenneth","Gooden","2005-06-16 13:18:48"
1757,"Ben","Easter","2005-06-16 17:32:24"
1852,"Penny","Neal","2005-06-17 00:38:20"
1925,"Ben","Easter","2005-06-17 06:16:47"
1934,"Sandra","Martin","2005-06-17 07:04:57"
1944,"Sandra","Martin","2005-06-17 07:50:53"
1967,"Jimmie","Eggleston","2005-06-17 09:19:52"
2023,"Erica","Matthews","2005-06-17 12:52:58"
2060,"Judith","Cox","2005-06-17 15:42:42"
2113,"Nathan","Runyon","2005-06-17 19:57:46"
2150,"Nathan","Runyon","2005-06-17 22:50:36"
2241,"Nathan","Runyon","2005-06-18 04:31:41"
2248,"Theodore","Culp","2005-06-18 04:59:48"
2325,"Nathan","Runyon","2005-06-18 10:08:07"
2335,"Theodore","Culp","2005-06-18 10:59:36"
2336,"Sheila","Wells","2005-06-18 11:00:05"
2411,"Jimmie","Eggleston","2005-06-18 16:55:54"
2428,"Heidi","Larson","2005-06-18 17:47:34"
2436,"Christian","Jung","2005-06-18 18:13:32"
2455,"Heidi","Larson","2005-06-18 19:33:06"
2478,"Heidi","Larson","2005-06-18 21:01:21"
2520,"Theodore","Culp","2005-06-19 00:29:00"
2531,"Harry","Arce","2005-06-19 01:20:49"
2544,"Jimmie","Eggleston","2005-06-19 02:16:17"
2585,"Nathan","Runyon","2005-06-19 05:05:03"
2627,"Terrance","Roush","2005-06-19 08:32:00"
2683,"Heidi","Larson","2005-06-19 12:27:19"
2694,"Harry","Arce","2005-06-19 13:17:21"
2710,"Theodore","Culp","2005-06-19 14:03:56"
2729,"Ben","Easter","2005-06-19 15:06:15"
2744,"Harry","Arce","2005-06-19 16:20:40"
2806,"Ben","Easter","2005-06-19 19:30:48"
2817,"Ben","Easter","2005-06-19 20:05:22"
2960,"Sandra","Martin","2005-06-20 07:10:09"
3016,"Jimmie","Eggleston","2005-06-20 10:55:08"
3048,"Maurice","Crawley","2005-06-20 12:49:55"
